ID,Country,Code,Greenhouse_Gases,Total_Waste,Air_Quality,Non-Renewable_Energy,Freshwater_Extractions
1,Austria,AUT,9.2,7.4,12.4,48,432
2,Belgium,BEL,10.8,5.9,12.9,174,355
3,Bulgaria,BGR,8.3,18.5,18.8,94,791
4,Croatia,HRV,6,1.4,17,38,161
5,Cyprus,CYP,11.3,2.6,16.8,73,261
6,Czechia,CZE,12.2,2.6,15.1,159,154
7,Denmark,DNK,8.9,3.7,10.1,63,137
8,Estonia,EST,15.3,17.5,6.7,174,1308
9,Finland,FIN,10.7,23.3,5.9,177,495
10,France,FRA,6.9,5.1,11.6,128,411
11,Germany,DEU,10.7,4.9,11.7,116,297
12,Greece,GRC,9,4.2,15.7,66,977
13,Hungary,HUN,6.6,1.9,15.6,110,406
14,Ireland,IRL,13.2,2.9,8.3,88,338
15,Italy,ITA,7.3,2.9,15.3,76,997
16,Latvia,LVA,6.3,0.9,12.7,38,103
17,Lithuania,LTU,7.4,2.5,11.5,34,120
18,Luxembourg,LUX,20.3,14.8,10.2,58,78
19,Malta,MLT,5.5,5.3,14,60,94
20,Netherlands,NLD,11.6,8.4,12.1,161,484
21,Poland,POL,11,4.6,20.5,103,289
22,Portugal,PRT,7,1.5,7.9,59,469
23,Romania,ROU,6,10.4,14.3,44,330
24,Slovakia,SVK,8,2.3,17.5,107,105
25,Slovenia,SVN,8.5,4,15.8,101,438
26,Spain,ESP,7.5,2.7,9.5,78,676
27,Sweden,SWE,5.4,13.6,5.9,101,244
28,United Kingdom,GBR,7.5,4.2,10.5,88,127
